Strict; 20; 20; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Prepared unfilled 3rd; 20281; 0; 20281; 4703; 190; 1799; 6970; 0; 17873; 5365; 9032; 16382; 55; 8631; 157; 14377; 2994; 4152; 197; 197; 0; 100; 3792; 1913; 10054; 9275; 13549; 3334; 1477; 1478; 1194; 7736; 2075; 13423; 709; 2872; 0; 1020; 440; 1410; 
Prepared unresolved 3rd; 5033; 0; 4703; 5033; 67; 241; 1272; 0; 3878; 2136; 2167; 2675; 32; 1999; 29; 2272; 374; 884; 51; 51; 0; 8; 24; 280; 2282; 1877; 2045; 522; 173; 184; 217; 1468; 269; 2168; 148; 240; 0; 223; 88; 229; 
Two 3rds after 6/8; 190; 0; 190; 67; 190; 8; 26; 0; 189; 11; 104; 120; 0; 138; 1; 128; 5; 68; 0; 0; 0; 0; 62; 0; 48; 116; 97; 48; 9; 24; 15; 62; 9; 179; 3; 0; 0; 13; 2; 8; 
Late <6th resolution; 3720; 0; 1799; 241; 8; 3720; 698; 0; 3592; 1478; 1827; 2753; 43; 1225; 51; 2010; 265; 515; 41; 41; 0; 0; 21; 201; 1483; 1980; 2041; 258; 74; 112; 33; 1801; 389; 1867; 248; 366; 0; 287; 154; 248; 
Leap back <5th; 10167; 0; 6970; 1272; 26; 698; 10167; 0; 8757; 2099; 5951; 7891; 32; 5214; 137; 6317; 1048; 2986; 76; 76; 0; 4; 2641; 1738; 7143; 3768; 6442; 2298; 1176; 1112; 877; 3272; 661; 7930; 487; 1225; 0; 340; 163; 674; 
Seventh; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Leap pre-late fill; 30388; 0; 17873; 3878; 189; 3592; 8757; 0; 30388; 8876; 15174; 23047; 169; 11647; 144; 21489; 2808; 5887; 346; 346; 0; 187; 4791; 3319; 14540; 15559; 17157; 4350; 1738; 1802; 1423; 13053; 4392; 18363; 2190; 3684; 0; 2110; 936; 1972; 
Many leaps; 10501; 0; 5365; 2136; 11; 1478; 2099; 0; 8876; 10501; 5403; 6672; 86; 3810; 71; 5328; 491; 1387; 206; 206; 0; 0; 92; 701; 5042; 4426; 4987; 828; 214; 283; 194; 3670; 815; 0; 954; 518; 0; 547; 219; 582; 
3rd to last is CEG; 17038; 0; 9032; 2167; 104; 1827; 5951; 0; 15174; 5403; 17038; 11568; 51; 6430; 182; 10244; 1862; 3738; 214; 214; 0; 201; 2522; 2522; 9261; 7405; 9232; 2415; 1099; 1254; 1076; 5557; 2848; 9124; 1259; 1047; 0; 487; 162; 0; 
