Shape id;Name;Type;Can overlap;Can show text;Can single note;Can any position;Can separate;Empty space;Comment
0;Flag;1;1;0;1;1;0;0;Just flag number
1;Harm;1;1;0;1;1;0;0;Harmony
2;Interval;1;1;0;1;1;0;0;Interval
3;VBracket;2;0;0;1;0;0;0;Vertical brackets
4;Volta;3;0;1;1;0;0;0;Volta repeat
5;Slur;4;0;0;0;0;0;0;Slur
6;Pslur;4;0;0;0;0;0;0;Phrasing slur
7;Glis;4;0;1;0;0;0;1;Glissando
8;Bracket;5;0;1;0;0;0;0;Horizontal analysis brackets
9;Trill;5;0;1;0;0;1;0;Trill
10;TextSpanner;4;0;1;0;0;1;1;Text spanner
11;Ottava;5;0;1;1;0;1;0;Ottava bracket
12;Pedal;5;0;1;0;0;1;0;Pedal bracket
13;NoteName;3;1;0;1;0;0;0;Note name
14;Stac;1;1;0;1;0;0;0;Staccato
15;Stacc;1;1;0;1;0;0;0;Staccattissimo
16;NoteColor;1;1;0;1;0;0;0;Note color
17;Petrucci;1;1;0;1;0;0;0;Petrucci notehead
18;Cross;1;1;0;1;0;0;0;Cross on a stem
19;Circle;1;1;0;1;0;0;0;Circle around notehead
