Set;Rid;Species;Voices;Severity;Class;Group;Name;SubName;Accept;Comment;SubComment;Viztype;VI;VC;VH;VS;VT;FQ;CF;GF;IF;DEU;MEI;ER;UE;R
1;230;;;50;Rhythm;Rhythm;Beginning is non-standard;1/8 note;0;;1/8 note in the first measure;;;1;;;;19;3;1;;;;;;
1;138;;;50;Rhythm;Rhythm;Misuse of rest;wrong starting rest;0;;Wrong starting rest length;;;1;;;;;;;;;;;;
1;517;;;50;Rhythm;Rhythm;Misuse of rest;rest inside;0;;Rest inside counterpoint - not before first note;;;1;;;;;;;;;;;;
1;527;;;50;Rhythm;Rhythm;Misuse of rest;late entrance;0;;Voice is entering too late. For species 2-5, one or two voices should enter in each measure;;;1;;;;;;;;;;;;
1;237;;;50;Rhythm;Rhythm;Missing rest;/no starting rest;0;;This species should start with a rest;;;;;;;;;;;;;;;
1;530;;;50;Rhythm;Rhythm;Simultaneous entries of voices;/simultaneous;0;;;;;1;;;;;;;;;;;;
1;247;;;50;Rhythm;Rhythm;Same rhythm in adjacent measures;/same;0;;Rhythm repeats in neighboring measures, while there are no croches or less than 4 notes in measure;12;;1;;;Rhythm repeat;48;16;1;;;;;;
1;549;;;0;Rhythm;Rhythm;Identical rhythm in two parts;/same;1;;One measure has same rhythm in two voices in species 5;12;;1;;;Same rhythm;;;;;;;;;
1;215;;;50;Rhythm;Rhythm;Identical rhythm in all parts;/same;0;For any species except species 1;One measure has same rhythm in all voices;;;;;;;;;;;;;;;
1;233;;;0;Rhythm;Rhythm;Non-permitted rhythm;1/2. downbeat;1;;Dotted half note on downbeat;;;1;;;;23;4;1;;;;;;
1;234;;;50;Rhythm;Rhythm;Non-permitted rhythm;1/2. upbeat;0;;Dotted half note on upbeat;11;;1;;;Rhythm;8;8;1;;;;;;
1;235;;;50;Rhythm;Rhythm;Non-permitted rhythm;1/4 syncope;0;;1/4 on beat 2 or 4 is slurred to next note;;;1;;;;22;19;1;;;;;;
1;236;;;50;Rhythm;Rhythm;Non-permitted rhythm;rhythm stagnation;0;;Downbeat full measure note inside counterpoint - not first or last note;;;1;;;;38;12;1;;;;;;
1;160;;;50;Rhythm;Rhythm;Non-permitted rhythm;whole inside;0;;Whole or longer note in measure in species 2 or 4. In species 5 allowed only if other voices move;;;1;;;;;;;;;;;;
1;226;;;50;Rhythm;Rhythm;Wrong usage of eighth notes;1st beat;0;;1/8 note on beat 1;;;1;;;;12;7;1;;;;;;
1;227;;;0;Rhythm;Rhythm;Wrong usage of eighth notes;2nd beat;1;;1/8 note on beat 2;;;1;;;;47;5;1;;;;;;
1;228;;;50;Rhythm;Rhythm;Wrong usage of eighth notes;3rd beat;0;;1/8 note on beat 3;;;1;;;;25;8;1;;;;;;
1;229;;;0;Rhythm;Rhythm;Wrong usage of eighth notes;4th beat;1;;1/8 note on beat 4;;;1;;;;57;9;1;;;;;;
1;231;;;50;Rhythm;Rhythm;Wrong usage of eighth notes;isolated;0;;1/8 note without pairing 1/8;;;1;;;;4;3;1;;;;;;
1;232;;;50;Rhythm;Rhythm;Wrong usage of eighth notes;1/8 syncope;0;;1/8 note slurred forward to next beat;;;1;;;;3;3;1;;;;;;
1;255;;;50;Rhythm;Rhythm;Wrong usage of eighth notes;>2 x 1/8;0;;More than two 1/8 notes in measure;;;1;;;;19;6;1;;;;;;
1;88;;;50;Rhythm;Rhythm;Wrong usage of eighth notes;leap;0;;Leap from or to 1/8 note;5;;1;;;;47;12;1;;;;;;
1;239;;;0;Rhythm;Rhythm;Anapaest;tie forward;1;1/2 after 1/4 or 1/8 in measure;1/2 is slurred forward when there is only one sp5 voice, before penultimate measure;11;;1;;;Anapaest;71;18;1;;;;;;
1;240;;;50;Rhythm;Rhythm;Anapaest;inside;0;1/2 after 1/4 or 1/8 in measure;Before penultimate measure;11;;1;;;Anapaest;11;9;1;;;;239;;
1;514;;;50;Rhythm;Rhythm;Wrong note value for this species;/value;0;Except last note;;;;1;;;;;;;;;;;;
1;525;;;50;Rhythm;Rhythm;Wrong time signature for this species;/measure len;0;;;;;1;;;;;;;;;;;;
1;515;;;50;Rhythm;Rhythm;Wrong positioning of note for this species;/position;0;;;;;1;;;;;;;;;;;;
1;41;;;50;Rhythm;Rhythm;Note lasts for too many measures;>2;0;;Note crosses more than two measures;;;1;;;;15;12;1;;;;;;
1;267;;;50;Rhythm;Rhythm;The length of last note is not full measure;/not full measure;0;;;;;1;;;;54;21;1;;;1;;;
1;244;;;100;Rhythm;Rhythm;Wrong suspension rhythm;sus wrong length;0;Suspension preparation and suspension;;;;1;;;;3;3;1;;;;;;
1;427;;;100;Rhythm;Rhythm;Wrong suspension rhythm;prep < sus;0;Suspension preparation and suspension;Suspension preparation is shorter than suspension;;;1;;;;24;0;1;;;;;;
1;274;;;100;Rhythm;Rhythm;Wrong suspension rhythm;prep wrong length;0;Suspension preparation and suspension;Suspension preparation is too short for this time signature;;;1;;;;5;5;1;;;;;;
1;341;;;0;Rhythm;Rhythm;Need more suspensions;each 3 meas.;0;;At least one suspension is needed each AA measures {sp5};;;1;;;;43;0;;1;;;;1;
1;301;;;0;Rhythm;Rhythm;Too many notes in one measure;5 notes after sus.;1;;5 notes in measure only allowed if first note is a suspension from previous measure;;;1;;;;22;3;1;;;;;;
1;245;;;50;Rhythm;Rhythm;Too many notes in one measure;5 notes without sus.;0;;;11;;1;;;!srn!;36;10;1;;;;;;
1;246;;;100;Rhythm;Rhythm;Too many notes in one measure;>5 notes;0;;;11;;1;;;!srn!;13;2;1;;;;245,301;;
1;30;;;100;Rhythm;Repeats and ties;Note repeat;cantus;0;;Slurs are prohibited in cantus;11;;1;;;Repeated note;0;0;1;;;;;;
1;516;;;50;Rhythm;Repeats and ties;Note repeat;inside measure;0;;;;;1;;;;;;;;;;;;
1;557;;;50;Rhythm;Repeats and ties;Simultaneous repeats of notes in multiple parts;/multivoice;0;;;;;1;;;;;;;;;;;;
1;93;10;;0;Rhythm;Repeats and ties;Note is repeated: in 10 notes;1;0;;;;;1;;;;36;0;;;;1;;;
1;94;10;;50;Rhythm;Repeats and ties;Note is repeated: in 10 notes;2;0;;;;;1;;;;6;0;;;;1;93;;
1;95;10;;50;Rhythm;Repeats and ties;Note is repeated: in 10 notes;>2;0;;;;;1;;;;22;0;;;;1;93,94;;
1;93;2;;0;Rhythm;Repeats and ties;Note is repeated: in 10 notes;1;-1;;;;;1;;;;36;0;;;;1;;;
1;94;2;;50;Rhythm;Repeats and ties;Note is repeated: in 10 notes;2;0;;;;;1;;;;6;0;;;;1;93;;
1;95;2;;50;Rhythm;Repeats and ties;Note is repeated: in 10 notes;>2;0;;;;;1;;;;22;0;;;;1;93,94;;
1;188;4;;0;Rhythm;Repeats and ties;Frequent interruption of syncopation: within 10 notes;1;0;Except interruption of syncopation between penultimate and last measure;One syncopation is interrupted, resulting in two separate half notes;;;1;;;;21;2;;;;1;;;
1;189;4;;50;Rhythm;Repeats and ties;Frequent interruption of syncopation: within 10 notes;2;0;Except interruption of syncopation between penultimate and last measure;;;;1;;;;15;0;;;;1;188;;
1;190;4;;50;Rhythm;Repeats and ties;Frequent interruption of syncopation: within 10 notes;>2;0;Except interruption of syncopation between penultimate and last measure;;;;1;;;;3;0;;;;1;188,189;;
1;197;;;50;Melody;Border;Leading tone is unresolved;need up;0;;Leading tone has to resolve up stepwise;12;;1;;;Res.;;;;;;;;;
1;198;;;50;Melody;Border;Leading tone is unresolved;need stepwise;0;;Leading tone has to resolve up or down stepwise;12;;1;;;Res.;;;;;;;;;
1;42;;;0;Melody;Compensated leap;Uncompensated leap: compensation deviation to 2nd;3rd;-1;Compensation can be deviated one 2nd interval above last leap note;;5;;1;;;;199;0;;;999;;;;
1;43;;;0;Melody;Compensated leap;Uncompensated leap: compensation deviation to 2nd;4th;-1;Compensation can be deviated one 2nd interval above last leap note;;5;;1;;;;88;0;;;999;;;;
1;44;;;0;Melody;Compensated leap;Uncompensated leap: compensation deviation to 2nd;5th;-1;Compensation can be deviated one 2nd interval above last leap note;;5;;1;;;;76;0;;;999;;;;
1;45;;;0;Melody;Compensated leap;Uncompensated leap: compensation deviation to 2nd;>5th;-1;Compensation can be deviated one 2nd interval above last leap note;;5;;1;;;;3;0;;;999;;;;
1;191;;;50;Melody;Compensated leap;Uncompensated leap: compensation deviation to 2nd;late >3;0;Compensation can be deviated one 2nd interval above last leap note;Deviation after compensation note AA (1 for >5th);5;;1;;;;0;0;;;;;;;
1;386;;;100;Melody;Compensated leap;Uncompensated leap: compensation deviation to 2nd;>5th long;0;Compensation can be deviated one 2nd interval above last leap note;Deviation longer than 1/4 note;5;;1;;;;0;0;;;;;;;
1;120;1240;;50;Melody;Compensated leap;Uncompensated leap: compensation deviation to 3rd;3rd;0;Compensation can be deviated one 3rd interval above last leap note;;5;;1;;;;84;0;;;999;;;;
1;121;1240;;50;Melody;Compensated leap;Uncompensated leap: compensation deviation to 3rd;4th;0;Compensation can be deviated one 3rd interval above last leap note;;5;;1;;;;58;0;;;999;;;;
1;122;1240;;50;Melody;Compensated leap;Uncompensated leap: compensation deviation to 3rd;5th;0;Compensation can be deviated one 3rd interval above last leap note;;5;;1;;;;23;0;;;999;;;;
1;123;1240;;50;Melody;Compensated leap;Uncompensated leap: compensation deviation to 3rd;>5th;0;Compensation can be deviated one 3rd interval above last leap note;Possible in species 3,5 when immediate with short notes;5;;1;;;;0;0;;;999;;;;
1;192;1240;;50;Melody;Compensated leap;Uncompensated leap: compensation deviation to 3rd;late >3;0;Compensation can be deviated one 3rd interval above last leap note;Deviation after compensation note AA (2 for >5th);5;;1;;;;0;0;;;;;;;
1;120;35;;0;Melody;Compensated leap;Uncompensated leap: compensation deviation to 3rd;3rd;-1;Compensation can be deviated one 3rd interval above last leap note;;5;;1;;;;84;0;;;999;;;;
1;121;35;;0;Melody;Compensated leap;Uncompensated leap: compensation deviation to 3rd;4th;-1;Compensation can be deviated one 3rd interval above last leap note;;5;;1;;;;58;0;;;999;;;;
1;122;35;;0;Melody;Compensated leap;Uncompensated leap: compensation deviation to 3rd;5th;-1;Compensation can be deviated one 3rd interval above last leap note;;5;;1;;;;23;0;;;999;;;;
1;123;35;;50;Melody;Compensated leap;Uncompensated leap: compensation deviation to 3rd;>5th;0;Compensation can be deviated one 3rd interval above last leap note;Possible in species 3,5 when immediate with short notes;5;;1;;;;0;0;;;999;;;;
1;192;35;;50;Melody;Compensated leap;Uncompensated leap: compensation deviation to 3rd;late >3;0;Compensation can be deviated one 3rd interval above last leap note;Deviation after compensation note AA (2 for >5th);5;;1;;;;0;0;;;;;;;
1;53;;;0;Melody;Compensated leap;Compensation after 3rd;3rd;-1;Compensation has a gap of one 3rd below last leap note;;5;;1;;;;44;0;;;;;;;
1;54;;;0;Melody;Compensated leap;Compensation after 3rd;4th;-1;Compensation has a gap of one 3rd below last leap note;;5;;1;;;;28;0;;;;;;;
1;55;;;0;Melody;Compensated leap;Compensation after 3rd;5th;-1;Compensation has a gap of one 3rd below last leap note;;5;;1;;;;41;0;;;;;;;
1;56;;;0;Melody;Compensated leap;Compensation after 3rd;>5th;-1;Compensation has a gap of one 3rd below last leap note;;5;;1;;;;32;0;;;;;;;
1;100;;;0;Melody;Compensated leap;Compensated to 3rd prepared;-;0;Prepared within 5 notes;;5;;1;;;;0;0;;;;;;;
1;101;;;0;Melody;Compensated leap;Compensated to 3rd prepared;4th;-1;Prepared within 5 notes;;5;;1;;;;94;0;;;;;;;
1;102;;;0;Melody;Compensated leap;Compensated to 3rd prepared;5th;-1;Prepared within 5 notes;;5;;1;;;;69;0;;;;;;;
1;103;;;0;Melody;Compensated leap;Compensated to 3rd prepared;>5th;-1;Prepared within 5 notes;;5;;1;;;;39;0;;;;;;;
1;104;;;0;Melody;Compensated leap;Compensated to 3rd;-;0;;;5;;1;;;;0;0;;;;;;;
1;105;;;0;Melody;Compensated leap;Compensated to 3rd;4th;-1;;;5;;1;;;;0;0;;;;;;;
1;106;;;0;Melody;Compensated leap;Compensated to 3rd;5th;-1;;;5;;1;;;;0;0;;;;;;;
1;107;;;0;Melody;Compensated leap;Compensated to 3rd;>5th;-1;;;5;;1;;;;0;0;;;;;;;
1;304;;;50;Melody;Compensated leap;8ve compensated to 4th;8ve;0;;;5;;1;;;;;;;;;;;;
1;144;;;0;Melody;Compensated leap;C5P last 4 measures, 8 notes;3rd;-1;Compensated to 5th, precompensated within 6 notes;;5;;1;;;;0;0;;;;;;;
1;145;;;0;Melody;Compensated leap;C5P last 4 measures, 8 notes;4th;-1;Compensated to 5th, precompensated within 6 notes;;5;;1;;;;92;0;;;;;;;
1;146;;;0;Melody;Compensated leap;C5P last 4 measures, 8 notes;5th;-1;Compensated to 5th, precompensated within 6 notes;;5;;1;;;;127;0;;;;;;;
1;147;;;0;Melody;Compensated leap;C5P last 4 measures, 8 notes;>5th;-1;Compensated to 5th, precompensated within 6 notes;;5;;1;;;;40;0;;;;;;;
1;112;;;0;Melody;Uncompensated leap;Uncompensated leap: precompensated;3rd;-1;;;5;;1;;;;151;0;;;;;144,120,42;;
1;113;;;0;Melody;Uncompensated leap;Uncompensated leap: precompensated;4th;-1;;;5;;1;;;;19;0;;;;;145,121,43;;
1;114;;;50;Melody;Uncompensated leap;Uncompensated leap: precompensated;5th;0;;;5;;1;;;;8;0;;;;;146,122,44;;
1;115;;;100;Melody;Uncompensated leap;Uncompensated leap: precompensated;>5th;0;;;5;;1;;;;24;0;;;;;147,123,45;;
1;204;;;0;Melody;Uncompensated leap;Precompensated last 2 leaps;3rd;-1;Leap within last XX notes in cantus/counterpoint;;5;;1;;;;78;0;;;;;;;
1;205;;;0;Melody;Uncompensated leap;Precompensated last 2 leaps;4th;-1;Leap within last XX notes in cantus/counterpoint;;5;;1;;;;4;0;;;;;;;
1;206;;;0;Melody;Uncompensated leap;Precompensated last 2 leaps;5th;-1;Leap within last XX notes in cantus/counterpoint;;5;;1;;;;2;0;;;;;;;
1;207;;;0;Melody;Uncompensated leap;Precompensated last 2 leaps;>5th;-1;Leap within last XX notes in cantus/counterpoint;;5;;1;;;;8;0;;;;;;;
1;116;;;0;Melody;Uncompensated leap;Uncompensated child leap;3rd;-1;After longer leap or before longer/same/one-note-smaller leap.;;5;;1;;;;43;0;;;;;144,120,42;;
1;117;;;0;Melody;Uncompensated leap;Uncompensated child leap;4th;-1;After longer leap or before longer/same/one-note-smaller leap.;;5;;1;;;;45;0;;;;;145,121,43;;
1;118;;;0;Melody;Uncompensated leap;Uncompensated child leap;5th;-1;After longer leap or before longer/same/one-note-smaller leap.;;5;;1;;;;25;0;;;;;146,122,44;;
1;119;;;0;Melody;Uncompensated leap;Uncompensated child leap;>5th;-1;After longer leap or before longer/same/one-note-smaller leap.;;5;;1;;;;20;0;;;;;147,123,45;;
1;124;;;0;Melody;Uncompensated leap;Uncompensated leap;3rd;-1;If no other uncompensated rules worked.;;5;;1;;;;36;1;;;;;144,120,42;;
1;125;;;0;Melody;Uncompensated leap;Uncompensated leap;4th;0;If no other uncompensated rules worked.;Possible in cantus;5;;1;;;;39;1;;;;;145,121,43;;
1;126;;;50;Melody;Uncompensated leap;Uncompensated leap;5th;0;If no other uncompensated rules worked.;;5;;1;;;;60;1;;;;;146,122,44;;
1;127;;;100;Melody;Uncompensated leap;Uncompensated leap;>5th;0;If no other uncompensated rules worked.;;5;;1;;;;88;1;;;;;147,123,45;;
1;1;;;0;Melody;Uncompensated leap;Uncompensated leap;start 3rd;-1;If no other uncompensated rules worked.;;5;;1;;;;15;1;1;;;;;;
1;510;35;;0;Melody;Change of melodic direction around leap;No change of direction after the leap: close + neigh;3rd;1;There is immediate melody direction change before leap. After leap there is neighbor tone, then ending leap note repeats and then there is movement inside leap.;;5;;1;;;;;;1;;;;;;
1;511;35;;0;Melody;Change of melodic direction around leap;No change of direction after the leap: close + neigh;4th;1;There is immediate melody direction change before leap. After leap there is neighbor tone, then ending leap note repeats and then there is movement inside leap.;;5;;1;;;;;;1;;;;;;
1;512;35;;0;Melody;Change of melodic direction around leap;No change of direction after the leap: close + neigh;5th;1;There is immediate melody direction change before leap. After leap there is neighbor tone, then ending leap note repeats and then there is movement inside leap.;;5;;1;;;;;;1;;;;;;
1;513;35;;0;Melody;Change of melodic direction around leap;No change of direction after the leap: close + neigh;>5th;1;There is immediate melody direction change before leap. After leap there is neighbor tone, then ending leap note repeats and then there is movement inside leap.;;5;;1;;;;;;1;;;;;;
1;128;;;0;Melody;Change of melodic direction around leap;No change of direction after the leap: close + 1skip;3rd;-1;There is immediate melody direction change before leap, but after leap melody direction changes only after one note, which goes in the same direction as leap;;5;;1;;;;126;0;;;;;510;;
1;129;;;0;Melody;Change of melodic direction around leap;No change of direction after the leap: close + 1skip;4th;-1;There is immediate melody direction change before leap, but after leap melody direction changes only after one note, which goes in the same direction as leap;;5;;1;;;;55;9;;;;;511;;
1;130;;;0;Melody;Change of melodic direction around leap;No change of direction after the leap: close + 1skip;5th;-1;There is immediate melody direction change before leap, but after leap melody direction changes only after one note, which goes in the same direction as leap;;5;;1;;;;38;5;;;;;512;;
1;131;;;50;Melody;Change of melodic direction around leap;No change of direction after the leap: close + 1skip;>5th;0;There is immediate melody direction change before leap, but after leap melody direction changes only after one note, which goes in the same direction as leap;;5;;1;;;;27;12;1;;;;513;;
1;140;;;0;Melody;Change of melodic direction around leap;No change of direction after the leap: close + 2skip;3rd;-1;There is immediate melody direction change before leap, but after leap melody direction changes only after two notes, which go in the same direction as leap;;5;;1;;;;69;1;;;;;128,510;;
1;141;;;0;Melody;Change of melodic direction around leap;No change of direction after the leap: close + 2skip;4th;-1;There is immediate melody direction change before leap, but after leap melody direction changes only after two notes, which go in the same direction as leap;;5;;1;;;;29;1;;;;;129,511;;
1;142;;;50;Melody;Change of melodic direction around leap;No change of direction after the leap: close + 2skip;5th;0;There is immediate melody direction change before leap, but after leap melody direction changes only after two notes, which go in the same direction as leap;;5;;1;;;;13;3;1;;;;130,512;;
1;143;;;100;Melody;Change of melodic direction around leap;No change of direction after the leap: close + 2skip;>5th;0;There is immediate melody direction change before leap, but after leap melody direction changes only after two notes, which go in the same direction as leap;;5;;1;;;;6;4;1;;;;131,513;;
1;108;;;0;Melody;Change of melodic direction around leap;No change of direction after the leap: close + >2skip;3rd;-1;There is immediate melody direction change before leap, but after leap melody direction changes after more than two notes, which go in the same direction as leap;;5;;1;;;;73;0;;;;;128,140,510;;
1;109;;;0;Melody;Change of melodic direction around leap;No change of direction after the leap: close + >2skip;4th;0;There is immediate melody direction change before leap, but after leap melody direction changes after more than two notes, which go in the same direction as leap;;5;;1;;;;11;5;1;;;;129,141,511;;
