sep=;
File;Cid;Step;Rid;Rule;Subrule;Species;High;Group;Comment;Subcomment;Accept;Severity;GFP;IFP;Log
midi\Melody\test\test-culm.mid;0;0;78;Culmination;early <3;0;High;Repeats;;Only for upper voice;-1;0;0;0;Imported from midi lyrics
midi\Melody\test\test-culm.mid;0;5;14;3rd to last note;I/III/V;0;High;Border;Only for cantus firmus;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-culm.mid;7;0;67;Skipped notes;1;0;High;Range;Skipped notes that do not appear within this voice;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-culm.mid;7;0;33;First note not tonic;Other;0;High;Border;Only for cantus firmus;Any note except I in lower voice. Any note except I, III, V in higher voice.;0;100;1;0;Imported from midi lyrics
midi\Melody\test\test-culm.mid;7;5;14;3rd to last note;I/III/V;0;High;Border;Only for cantus firmus;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-culm.mid;7;6;13;2nd to last note;not V/VIII/II;0;High;Border;Only for cantus firmus;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-culm.mid;7;7;21;Culmination;late 3;0;High;Repeats;;Only for upper voice;-1;0;0;0;Imported from midi lyrics
midi\Melody\test\test-repeat.mid;0;0;402;Adjacent repeat 2 notes;uniform;0;Low;Repeats;Two adjacent notes are immediately repeated;Length of first three notes is the same;0;100;0;0;Imported from midi lyrics
midi\Melody\test\test-repeat.mid;0;4;402;Adjacent repeat 2 notes;uniform;0;Low;Repeats;Two adjacent notes are immediately repeated;Length of first three notes is the same;0;100;0;0;Imported from midi lyrics
midi\Melody\test\test-repeat.mid;0;9;402;Adjacent repeat 2 notes;uniform;0;Low;Repeats;Two adjacent notes are immediately repeated;Length of first three notes is the same;0;100;0;0;Imported from midi lyrics
midi\Melody\test\test-repeat.mid;0;12;14;3rd to last note;I/III/V;0;Low;Border;Only for cantus firmus;;-1;0;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-end.mid;0;3;19;Audible tritone: framed;unresolved;3;Low;sp2-5 Tritone;Tritone within measure with intermediate notes, framed by two melody direction changes;;0;60;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-end.mid;0;6;52;Penultimate note resolution;VII not to I;3;Low;Border;;VII penultimate note resolves not to I note;0;0;0;0;Imported from midi lyrics
midi\Counterpoint\test\test-end.mid;0;6;58;Leap back;overflow;3;Low;Turns around leap;;After leap there is an immediate returning leap in the opposite direction. This returning leap is longer than initial leap;-1;0;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-end.mid;0;6;175;Ascending leap;m6;3;Low;Leaps;;;-1;0;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-end.mid;1;6;47;Penultimate measure;no leading tone;3;Low;Counterpoint;;no leading tone is allowed if last bass notes are V-I;0;30;0;0;Imported from midi lyrics
midi\Counterpoint\test\test-end.mid;1;6;87;Penultimate note resolution;IV not to III;3;Low;Border;;IV penultimate note resolves not to III note;0;0;0;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;0;0;67;Skipped notes;1;0;High;Range;Skipped notes that do not appear within this voice;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;0;2;124;Uncompensated leap;3rd;0;High;Uncompensated leap;If no other uncompensated rules worked.;;-1;0;0;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;0;6;14;3rd to last note;I/III/V;0;High;Border;Only for cantus firmus;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;1;0;69;Skipped notes;>1 joined;0;High;Range;Skipped notes that do not appear within this voice;;0;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;1;2;125;Uncompensated leap;4th;0;High;Uncompensated leap;If no other uncompensated rules worked.;Possible in cantus;0;0;0;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;1;2;399;>1skip + >1skip turns around leap;4th;0;High;Turns around leap;There is more than one note going in the same direction before leap and more than one note going in the same direction after leap;;0;0;0;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;1;6;14;3rd to last note;I/III/V;0;High;Border;Only for cantus firmus;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;2;0;67;Skipped notes;1;0;High;Range;Skipped notes that do not appear within this voice;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;2;0;69;Skipped notes;>1 joined;0;High;Range;Skipped notes that do not appear within this voice;;0;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;2;2;126;Uncompensated leap;5th;0;High;Uncompensated leap;If no other uncompensated rules worked.;;0;60;0;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;2;2;400;>1skip + >1skip turns around leap;5th;0;High;Turns around leap;There is more than one note going in the same direction before leap and more than one note going in the same direction after leap;;0;100;0;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;2;6;14;3rd to last note;I/III/V;0;High;Border;Only for cantus firmus;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;2;7;13;2nd to last note;not V/VIII/II;0;High;Border;Only for cantus firmus;;-1;0;1;0;Imported from midi lyrics
