sep=;
File;Cid;Step;Rid;Rule;Subrule;Species;High;Group;Comment;Subcomment;Accept;Severity;GFP;IFP
midi\Counterpoint\test\test-tritone.mid;0;0;67;Skipped notes;1;1;Low;Range;Skipped notes that do not appear within this voice;;-1;0;1;0
midi\Counterpoint\test\test-tritone.mid;0;1;2;Adjacent tritone;resolved;1;Low;CF/sp1 Tritone;Melodic adjacent tritone;Search 4 quarters for resolution;0;0;1;0
midi\Counterpoint\test\test-tritone.mid;0;1;32;Adjacent tritone;on climax;1;Low;CF/sp1 Tritone;Melodic adjacent tritone;Highest note in higher voice within 13 notes or 8 measures - which is smaller;0;0;1;0
midi\Counterpoint\test\test-tritone.mid;0;3;75;Penultimate measure;no V or II note;1;Low;Counterpoint;;No V or II note;0;30;1;0
midi\Counterpoint\test\test-tritone.mid;2;0;67;Skipped notes;1;1;Low;Range;Skipped notes that do not appear within this voice;;-1;0;1;0
midi\Counterpoint\test\test-tritone.mid;2;1;31;Adjacent tritone;unresolved;1;Low;CF/sp1 Tritone;Melodic adjacent tritone;;0;60;0;0
midi\Counterpoint\test\test-tritone.mid;2;1;32;Adjacent tritone;on climax;1;Low;CF/sp1 Tritone;Melodic adjacent tritone;Highest note in higher voice within 13 notes or 8 measures - which is smaller;0;0;1;0
midi\Counterpoint\test\test-tritone.mid;3;0;69;Skipped notes;>1 joined;1;Low;Range;Skipped notes that do not appear within this voice;;0;0;1;0
midi\Counterpoint\test\test-tritone.mid;3;1;31;Adjacent tritone;unresolved;1;Low;CF/sp1 Tritone;Melodic adjacent tritone;;0;60;0;0
midi\Counterpoint\test\test-tritone.mid;4;0;67;Skipped notes;1;1;Low;Range;Skipped notes that do not appear within this voice;;-1;0;1;0
midi\Counterpoint\test\test-tritone.mid;4;1;372;Compound tritone framed;unresolved;1;Low;CF/sp1 Tritone;Tritone within measure with one intermediate note, framed by two melody direction changes or leaps;;0;60;0;0
midi\Counterpoint\test\test-tritone.mid;4;1;373;Compound tritone framed;on climax;1;Low;CF/sp1 Tritone;Tritone within measure with one intermediate note, framed by two melody direction changes or leaps;;0;0;0;0
midi\Counterpoint\test\test-tritone.mid;4;1;503;Consecutive unidir. leaps;2 x 3rds;1;Low;Leaps;;;0;60;0;0
midi\Counterpoint\test\test-tritone.mid;5;1;371;Compound tritone framed;resolved;1;Low;CF/sp1 Tritone;Tritone within measure with one intermediate note, framed by two melody direction changes or leaps;;0;0;0;0
midi\Counterpoint\test\test-tritone.mid;5;1;373;Compound tritone framed;on climax;1;Low;CF/sp1 Tritone;Tritone within measure with one intermediate note, framed by two melody direction changes or leaps;;0;0;0;0
