sep=;
File;Cid;Step;Rid;Rule;Subrule;Species;High;Group;Comment;Subcomment;Accept;Severity;GFP;IFP;Log
midi\Counterpoint\good\good-cp5.mid;1;22;385;Parallel 5ths: < 4/4 apart;sus;5;Low;Counterpoint;Two same non-close perfect consonances in neighboring measures less than 4 notes apart;Second interval is suspension second part;0;60;0;0;Imported from midi lyrics
midi\Counterpoint\good\good-cp5.mid;1;26;127;Uncompensated leap;>5th;5;Low;Uncompensated leap;If no other uncompensated rules worked.;;0;100;0;0;Imported from midi lyrics
midi\Counterpoint\good\good-cp5.mid;1;26;143;Close + 2skip turns around leap;>5th;5;Low;Turns around leap;There is immediate melody direction change before leap, but after leap melody direction changes only after two notes, which go in the same direction as leap;;0;100;1;0;Imported from midi lyrics
midi\Counterpoint\good\good-cp5.mid;1;58;47;Penultimate measure;no leading tone;5;Low;Counterpoint;;no leading tone is allowed if last bass notes are V-I;0;30;0;0;Imported from midi lyrics
midi\Counterpoint\good\good-cp5.mid;1;66;267;Last note;not whole;5;Low;Rhythm;;;0;0;1;0;Imported from midi lyrics
midi\Counterpoint\good\good-cp5.mid;2;4;418;Harmonic repeat;inversion;5;Low;Harmony;;Chord is repeated, but inversion is changed;0;0;0;0;Imported from midi lyrics
midi\Counterpoint\good\good-cp5.mid;2;22;127;Uncompensated leap;>5th;5;Low;Uncompensated leap;If no other uncompensated rules worked.;;0;100;0;0;Imported from midi lyrics
midi\Counterpoint\good\good-cp5.mid;2;44;418;Harmonic repeat;inversion;5;Low;Harmony;;Chord is repeated, but inversion is changed;0;0;0;0;Imported from midi lyrics
midi\Counterpoint\good\good-cp5.mid;3;12;316;Parallel 5ths: < 4/4 apart;downbeat;5;Low;Counterpoint;Two same non-close perfect consonances in neighboring measures less than 4 notes apart;Second interval is downbeat;0;100;1;0;Imported from midi lyrics
midi\Counterpoint\good\good-cp5.mid;3;24;417;sp5 1skip turns around leap;>5th;5;Low;Turns around leap;1skip+close, close+1skip, 1skip+1skip {sp5};;1;0;0;0;Imported from midi lyrics
midi\Counterpoint\good\good-cp5.mid;3;52;365;Tritone: adjacent framed;resolved;5;Low;sp2-5 Tritone;Melodic tritone within measure, framed by two melody direction changes;;0;40;0;0;Imported from midi lyrics
